21/06/11/ 13:11:40
Gain= 10dB   HPF=30kHz
Mode=10msecモード
　　
Time,Number,Amplitude(mV),Energy,RMS(mV)
13:11:46:1, 536, 97, 1994457, 39,
13:11:46:1, 537, 208, 2383999, 39,
13:11:46:1, 538, 171, 2283012, 39,
13:11:46:1, 539, 146, 2298628, 39,
13:11:46:1, 540, 95, 1773018, 1,
13:11:46:1, 541, 145, 2217038, 39,
13:11:46:1, 542, 101, 1790570, 1,
13:11:46:1, 543, 113, 1862230, 39,
13:11:46:1, 544, 120, 1805478, 39,
13:11:46:1, 545, 101, 1894909, 39,
13:11:46:2, 546, 110, 1910405, 39,
13:11:46:2, 547, 106, 1995829, 39,
13:11:46:2, 548, 115, 2062259, 39,
13:11:46:2, 549, 118, 1926447, 39,
13:11:46:2, 550, 200, 2374816, 39,
13:11:46:2, 551, 117, 1979854, 39,
13:11:46:2, 552, 95, 1754374, 1,
13:11:46:2, 553, 121, 1951504, 39,
13:11:46:2, 554, 109, 1857265, 39,
13:11:46:2, 555, 256, 3124444, 39,
13:11:46:2, 556, 152, 2241378, 39,
13:11:46:3, 557, 95, 1844090, 39,
13:11:46:3, 558, 103, 1933139, 39,
13:11:46:3, 559, 109, 1970388, 39,
13:11:46:3, 560, 92, 1818494, 1,
13:11:46:3, 561, 110, 1891709, 39,
13:11:46:3, 562, 112, 1875513, 39,
13:11:46:3, 563, 163, 2257933, 39,
13:11:46:3, 564, 173, 2312108, 39,
13:11:46:3, 565, 98, 1800619, 39,
13:11:46:3, 566, 178, 2786670, 39,
13:11:46:4, 567, 125, 2007707, 39,
13:11:46:4, 568, 160, 2523071, 39,
13:11:46:4, 569, 123, 1987826, 39,
13:11:46:4, 570, 103, 1876784, 39,
13:11:46:4, 571, 122, 2051857, 39,
13:11:46:4, 572, 118, 1944326, 39,
13:11:46:4, 573, 122, 1869766, 39,
13:11:46:4, 574, 120, 2091017, 39,
13:11:46:4, 575, 101, 1820405, 39,
13:11:46:5, 576, 99, 1779282, 1,
13:11:46:5, 577, 123, 1951454, 39,
13:11:46:5, 578, 122, 2141153, 39,
13:11:46:5, 579, 111, 1838940, 39,
13:11:46:5, 580, 114, 1872305, 39,
13:11:46:5, 581, 115, 1772802, 1,
13:11:46:5, 582, 114, 1937058, 39,
13:11:46:5, 583, 121, 1783305, 1,
13:11:46:5, 584, 189, 2113876, 39,
13:11:46:5, 585, 121, 1965127, 39,
13:11:46:6, 586, 99, 1908973, 39,
13:11:46:6, 587, 246, 2880831, 39,
13:11:46:6, 588, 103, 2023903, 39,
13:11:46:6, 589, 127, 1996757, 39,
13:11:46:6, 590, 121, 1993903, 39,
13:11:46:6, 591, 104, 1862407, 39,
13:11:46:6, 592, 119, 1920744, 39,
13:11:46:6, 593, 116, 1931768, 39,
13:11:46:6, 594, 135, 2282379, 39,
13:11:46:6, 595, 169, 2371502, 39,
