21/06/11/ 13:10:26
Gain= 20dB   HPF=30kHz
Mode=10msecモード
　　
Time,Number,Amplitude(mV),Energy,RMS(mV)
13:10:30:1, 372, 266, 4336609, 39,
13:10:30:1, 373, 209, 4249837, 39,
13:10:30:1, 374, 239, 4370567, 39,
13:10:30:2, 375, 337, 4122012, 39,
13:10:30:2, 376, 254, 4236994, 39,
13:10:30:2, 377, 226, 4196606, 39,
13:10:30:2, 378, 251, 4158532, 39,
13:10:30:2, 379, 336, 4813040, 39,
13:10:30:2, 380, 291, 4603027, 39,
13:10:30:2, 381, 256, 4487142, 39,
13:10:30:2, 382, 211, 4273884, 39,
13:10:30:2, 383, 213, 4062059, 39,
13:10:30:2, 384, 271, 4556648, 39,
13:10:30:3, 385, 240, 4219558, 39,
13:10:30:3, 386, 251, 4584468, 39,
13:10:30:3, 387, 256, 4424623, 39,
13:10:30:3, 388, 305, 4660880, 39,
13:10:30:3, 389, 247, 4506680, 39,
13:10:30:3, 390, 337, 4853923, 39,
13:10:30:3, 391, 280, 4434756, 39,
13:10:30:3, 392, 243, 4401634, 39,
13:10:30:3, 393, 244, 4457760, 39,
13:10:30:4, 394, 246, 4537516, 39,
13:10:30:4, 395, 244, 4400140, 39,
13:10:30:4, 396, 261, 4542500, 39,
13:10:30:4, 397, 254, 4172908, 39,
13:10:30:4, 398, 225, 4197383, 39,
13:10:30:4, 399, 283, 4419650, 39,
13:10:30:4, 400, 231, 4190783, 39,
13:10:30:4, 401, 215, 4313858, 39,
13:10:30:4, 402, 249, 4121608, 39,
13:10:30:4, 403, 272, 4177455, 39,
13:10:30:5, 404, 229, 4166822, 39,
13:10:30:5, 405, 239, 4552670, 39,
13:10:30:5, 406, 293, 4708055, 39,
13:10:30:5, 407, 284, 4711116, 39,
13:10:30:5, 408, 246, 4356515, 39,
13:10:30:5, 409, 301, 5104575, 39,
13:10:30:5, 410, 355, 4838451, 39,
13:10:30:5, 411, 252, 4285868, 39,
13:10:30:5, 412, 294, 4399186, 39,
13:10:30:5, 413, 212, 4314683, 39,
13:10:30:5, 414, 242, 4512954, 39,
13:10:30:6, 415, 225, 4134399, 39,
13:10:30:6, 416, 256, 4497678, 39,
13:10:30:6, 417, 246, 4484469, 39,
13:10:30:6, 418, 249, 4398726, 39,
13:10:30:6, 419, 244, 4384966, 39,
13:10:30:6, 420, 245, 4473223, 39,
13:10:30:6, 421, 255, 4834922, 39,
13:10:30:6, 422, 246, 4482130, 39,
13:10:30:6, 423, 228, 4550814, 39,
13:10:30:7, 424, 250, 4428295, 39,
13:10:30:7, 425, 238, 4302289, 39,
13:10:30:7, 426, 240, 4441397, 39,
13:10:30:7, 427, 237, 4450604, 39,
13:10:30:7, 428, 275, 4293955, 39,
13:10:30:7, 429, 278, 4472366, 39,
13:10:30:7, 430, 215, 4039666, 39,
13:10:30:7, 431, 267, 4469149, 39,
13:10:30:7, 432, 230, 4165999, 39,
13:10:30:7, 433, 244, 4304881, 39,
13:10:30:8, 434, 234, 4048880, 39,
13:10:30:8, 435, 281, 4539644, 39,
13:10:30:8, 436, 233, 4258642, 39,
13:10:30:8, 437, 258, 4114374, 39,
13:10:30:8, 438, 290, 4645544, 39,
13:10:30:8, 439, 292, 4502759, 39,
13:10:30:8, 440, 234, 4158278, 39,
13:10:30:8, 441, 267, 4523129, 39,
13:10:30:8, 442, 280, 4288877, 39,
13:10:30:8, 443, 228, 4519480, 39,
13:10:30:8, 444, 269, 4493321, 39,
13:10:30:9, 445, 225, 4248513, 39,
13:10:30:9, 446, 259, 4497779, 39,
13:10:30:9, 447, 228, 4292187, 39,
13:10:30:9, 448, 255, 4486090, 39,
13:10:30:9, 449, 248, 4605009, 39,
13:10:30:9, 450, 230, 4604358, 39,
13:10:30:9, 451, 275, 4444281, 39,
13:10:30:9, 452, 254, 4236042, 39,
13:10:30:9, 453, 259, 4665393, 39,
13:10:30:9, 454, 251, 4544530, 39,
13:10:31:0, 455, 275, 4343674, 39,
13:10:31:0, 456, 239, 4148161, 39,
13:10:31:0, 457, 293, 4520008, 39,
13:10:31:0, 458, 287, 4389157, 39,
13:10:31:0, 459, 447, 5810810, 78,
13:10:31:0, 460, 273, 4711541, 39,
13:10:31:0, 461, 277, 4539413, 39,
13:10:31:0, 462, 256, 4071820, 39,
13:10:31:0, 463, 246, 4425677, 39,
13:10:31:1, 464, 233, 4343527, 39,
13:10:31:1, 465, 245, 4343195, 39,
13:10:31:1, 466, 247, 4468054, 39,
13:10:31:1, 467, 242, 4281221, 39,
13:10:31:1, 468, 240, 4309687, 39,
13:10:31:1, 469, 272, 4428659, 39,
13:10:31:1, 470, 242, 4370126, 39,
13:10:31:1, 471, 256, 4243972, 39,
13:10:31:1, 472, 300, 4801537, 39,
13:10:31:1, 473, 308, 4409721, 39,
13:10:31:1, 474, 253, 4470440, 39,
13:10:31:2, 475, 229, 4314920, 39,
13:10:31:2, 476, 313, 4866002, 39,
13:10:31:2, 477, 308, 4689970, 39,
13:10:31:2, 478, 259, 4678457, 39,
13:10:31:2, 479, 255, 4400925, 39,
13:10:31:2, 480, 254, 4550851, 39,
13:10:31:2, 481, 226, 4301559, 39,
13:10:31:2, 482, 276, 4541777, 39,
13:10:31:2, 483, 227, 4495819, 39,
13:10:31:3, 484, 302, 4229676, 39,
13:10:31:3, 485, 231, 4175260, 39,
13:10:31:3, 486, 214, 4053346, 39,
13:10:31:3, 487, 236, 4161383, 39,
13:10:31:3, 488, 236, 4147411, 39,
13:10:31:3, 489, 221, 4542074, 39,
13:10:31:3, 490, 212, 4044608, 39,
13:10:31:3, 491, 232, 4309853, 39,
13:10:31:3, 492, 230, 4165977, 39,
13:10:31:3, 493, 233, 4388054, 39,
13:10:31:3, 494, 255, 4340293, 39,
13:10:31:4, 495, 247, 4620584, 39,
13:10:31:4, 496, 226, 4312265, 39,
13:10:31:4, 497, 305, 4407928, 39,
13:10:31:4, 498, 245, 4555043, 39,
13:10:31:4, 499, 233, 4387909, 39,
13:10:31:4, 500, 262, 4680560, 39,
13:10:31:4, 501, 316, 4835668, 39,
13:10:31:4, 502, 253, 4841506, 39,
13:10:31:4, 503, 264, 4715144, 39,
13:10:31:5, 504, 269, 4489387, 39,
13:10:31:5, 505, 219, 4317209, 39,
13:10:31:5, 506, 253, 4482827, 39,
13:10:31:5, 507, 265, 4450657, 39,
13:10:31:5, 508, 307, 4699008, 39,
13:10:31:5, 509, 229, 4160738, 39,
13:10:31:5, 510, 229, 4379907, 39,
13:10:31:5, 511, 302, 4226405, 39,
13:10:31:5, 512, 283, 4460024, 39,
13:10:31:5, 513, 239, 4019703, 39,
13:10:31:6, 514, 250, 4202387, 39,
13:10:31:6, 515, 245, 4589829, 39,
13:10:31:6, 516, 246, 4423049, 39,
13:10:31:6, 517, 229, 4319266, 39,
13:10:31:6, 518, 223, 4343897, 39,
13:10:31:6, 519, 322, 4694970, 39,
13:10:31:6, 520, 280, 4609677, 39,
13:10:31:6, 521, 264, 4629412, 39,
13:10:31:6, 522, 257, 4715867, 39,
13:10:31:6, 523, 269, 4408898, 39,
13:10:31:6, 524, 229, 4265515, 39,
13:10:31:7, 525, 291, 4509612, 39,
13:10:31:7, 526, 292, 4209468, 39,
13:10:31:7, 527, 276, 4271529, 39,
13:10:31:7, 528, 240, 4474971, 39,
13:10:31:7, 529, 239, 4333818, 39,
13:10:31:7, 530, 267, 4498517, 39,
13:10:31:7, 531, 236, 4434567, 39,
13:10:31:7, 532, 273, 4409376, 39,
13:10:31:7, 533, 277, 4630926, 39,
13:10:31:8, 534, 251, 4672803, 39,
13:10:31:8, 535, 228, 4433125, 39,
13:10:31:8, 536, 278, 4822407, 39,
13:10:31:8, 537, 243, 4351964, 39,
13:10:31:8, 538, 280, 4419326, 39,
13:10:31:8, 539, 233, 4406220, 39,
13:10:31:8, 540, 253, 4455123, 39,
13:10:31:8, 541, 247, 4217296, 39,
13:10:31:8, 542, 221, 3955146, 39,
13:10:31:8, 543, 272, 4165636, 39,
13:10:31:9, 544, 303, 4288345, 39,
13:10:31:9, 545, 248, 4428344, 39,
13:10:31:9, 546, 235, 4331637, 39,
13:10:31:9, 547, 268, 4795775, 39,
13:10:31:9, 548, 223, 4164666, 39,
13:10:31:9, 549, 231, 4077725, 39,
13:10:31:9, 550, 235, 4131144, 39,
13:10:31:9, 551, 248, 4325632, 39,
13:10:31:9, 552, 206, 4251686, 39,
13:10:31:9, 553, 289, 4484217, 39,
13:10:31:9, 554, 247, 4204992, 39,
13:10:32:0, 555, 289, 4640678, 39,
13:10:32:0, 556, 309, 5308820, 39,
13:10:32:0, 557, 301, 4540875, 39,
13:10:32:0, 558, 407, 5913414, 78,
13:10:32:0, 559, 256, 4561826, 39,
13:10:32:0, 560, 285, 4359779, 39,
13:10:32:0, 561, 272, 4302873, 39,
13:10:32:0, 562, 272, 4675172, 39,
13:10:32:0, 563, 324, 4717972, 39,
13:10:32:0, 564, 244, 4427876, 39,
13:10:32:1, 565, 253, 4241778, 39,
13:10:32:1, 566, 341, 5325124, 78,
13:10:32:1, 567, 223, 4429674, 39,
13:10:32:1, 568, 266, 4181303, 39,
13:10:32:1, 569, 223, 4257055, 39,
13:10:32:1, 570, 250, 4162782, 39,
13:10:32:1, 571, 234, 4139173, 39,
13:10:32:1, 572, 238, 4322966, 39,
13:10:32:1, 573, 233, 4299176, 39,
13:10:32:1, 574, 234, 4472561, 39,
13:10:32:2, 575, 245, 4334253, 39,
13:10:32:2, 576, 265, 4313977, 39,
13:10:32:2, 577, 284, 4460265, 39,
13:10:32:2, 578, 267, 4596725, 39,
13:10:32:2, 579, 225, 4209210, 39,
13:10:32:2, 580, 244, 4459173, 39,
13:10:32:2, 581, 253, 4515600, 39,
13:10:32:2, 582, 257, 4646969, 39,
13:10:32:2, 583, 312, 4625355, 39,
13:10:32:2, 584, 247, 4222063, 39,
13:10:32:3, 585, 242, 4597875, 39,
13:10:32:3, 586, 464, 5327298, 78,
13:10:32:3, 587, 338, 6184892, 78,
13:10:32:3, 588, 335, 4531152, 39,
13:10:32:3, 589, 281, 4448338, 39,
13:10:32:3, 590, 213, 4433653, 39,
13:10:32:3, 591, 259, 4298421, 39,
13:10:32:3, 592, 234, 4583198, 39,
13:10:32:3, 593, 234, 4123766, 39,
13:10:32:3, 594, 300, 4261086, 39,
13:10:32:4, 595, 248, 4128231, 39,
